X; Y; Z; Reglerwert X; Reglerwert Y; Reglerwert Z; throttle; pitch; roll; yaw
1737; 2343; 422; 0; 0; 10; 150; 0; 0; 0
1743; 2326; 402; 0; 0; 10; 150; 0; 0; 0
1743; 2326; 402; 0; 0; 10; 150; 0; 0; 0
1798; 2317; 416; 0; 0; 10; 150; 0; 0; 0
1746; 2299; 375; 0; 0; 10; 150; 0; 0; 0
1882; 2279; 390; 0; 0; 10; 150; 0; 0; 0
1882; 2279; 390; 0; 0; 10; 150; 0; 0; 0
1881; 2252; 371; 0; 0; 10; 150; 0; 0; 0
1866; 2205; 337; 0; 0; 10; 150; 0; 0; 0
1884; 2164; 323; 0; 0; 10; 150; 0; 0; 0
1884; 2164; 323; 0; 0; 10; 150; 0; 0; 0
1877; 2127; 304; 0; 0; 10; 150; 0; 0; 0
1920; 2117; 303; 0; 0; 10; 150; 0; 0; 0
1995; 2097; 295; 0; 0; 10; 150; 0; 0; 0
1995; 2097; 295; 0; 0; 10; 150; 0; 0; 0
1996; 2070; 277; 0; 0; 10; 150; 0; 0; 0
1989; 2051; 245; 0; 0; 10; 150; 0; 0; 0
1973; 2038; 219; 0; 0; 10; 150; 0; 0; 0
1986; 2032; 200; 0; 0; 10; 150; 0; 0; 0
1986; 2032; 200; 0; 0; 10; 150; 0; 0; 0
1996; 2016; 177; 0; 0; 10; 150; 0; 0; 0
1925; 2009; 123; 0; 0; 10; 150; 0; 0; 0
1854; 2002; 80; 0; 0; 10; 150; 0; 0; 0
1854; 2002; 80; 0; 0; 10; 150; 0; 0; 0
1862; 2013; 73; 0; 0; 10; 150; 0; 0; 0
1814; 2048; 48; 0; 0; 10; 150; 0; 0; 0
1899; 2083; 70; 0; 0; 10; 150; 0; 0; 0
1899; 2083; 70; 0; 0; 10; 150; 0; 0; 0
1876; 2114; 63; 0; 0; 10; 150; 0; 0; 0
1901; 2154; 67; 0; 0; 10; 150; 0; 0; 0
1922; 2185; 80; 0; 0; 10; 150; 0; 0; 0
1922; 2185; 80; 0; 0; 10; 150; 0; 0; 0
1948; 2225; 103; 0; 0; 10; 150; 0; 0; 0
1869; 2272; 78; 0; 0; 10; 150; 0; 0; 0
1862; 2306; 85; 0; 0; 10; 150; 0; 0; 0
1862; 2306; 85; 0; 0; 10; 150; 0; 0; 0
1859; 2339; 54; 0; 0; 10; 150; 0; 0; 0
1840; 2355; 2; 0; 0; 10; 150; 0; 0; 0
1932; 2361; 42; 0; 0; 10; 150; 0; 0; 0
1932; 2361; 42; 0; 0; 10; 150; 0; 0; 0
1915; 2358; 32; 0; 0; 10; 150; 0; 0; 0
1932; 2361; 39; 0; 0; 10; 150; 0; 0; 0
1915; 2358; 32; 0; 0; 10; 150; 0; 0; 0
1915; 2358; 32; 0; 0; 10; 150; 0; 0; 0
1890; 2363; 22; 0; 0; 10; 150; 0; 0; 0
1941; 2354; 42; 0; 0; 10; 150; 0; 0; 0
1932; 2361; 42; 0; 0; 10; 150; 0; 0; 0
1932; 2361; 42; 0; 0; 10; 150; 0; 0; 0
1916; 2358; 35; 0; 0; 10; 150; 0; 0; 0
1915; 2358; 32; 0; 0; 10; 150; 0; 0; 0
1934; 2361; 39; 0; 0; 10; 150; 0; 0; 0
1934; 2361; 39; 0; 0; 10; 150; 0; 0; 0
1934; 2361; 39; 0; 0; 10; 150; 0; 0; 0
1934; 2361; 39; 0; 0; 10; 150; 0; 0; 0
1934; 2361; 36; 0; 0; 10; 150; 0; 0; 0
1934; 2361; 36; 0; 0; 10; 150; 0; 0; 0
